post_id,post_date,group,author,content
1,2015-01-19,10,cracking12345,I hate you now
2,2017-04-05,NULL,citrus2014,"In other news, educational psychology and my honda civic suck."
3,2016-10-05,10,sosobanane,"I love paris hilton, britney spears and jessica simpson."
4,2016-07-31,NULL,craciun05,I love Volkswagen Dave.....
5,2016-03-16,16,citrus2014,Harvard sucks.
6,2016-06-20,4,tahastanly,In Shanghai GOSH it's deadly boring here in Shanghai.
7,2019-04-14,NULL,citrus2014,AAA rocks.
8,2015-06-08,9,nitsua49,seattle sucks anyways.
9,2019-08-01,17,hairy-conniption,I love Tom Cruise.
10,2019-06-11,5,aminox,"I love paris hilton, britney spears and jessica simpson."
11,2018-03-23,NULL,nitsua49,"i hate 3 paris hilton, halary duff, lindsay lohan."
12,2015-07-06,11,stethoscopes,"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency."
13,2018-02-19,13,youralterego,Lakers = the SUCK!
14,2016-06-26,6,tahastanly,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
15,2017-09-22,14,bischopscup,the fact that i love paris hilton or like the color pink...
16,2018-07-22,NULL,tahastanly,i love my macbook...
17,2019-07-14,5,rps_1899,i try to enjoy my time here in san francisco.......
18,2015-08-26,14,artykom,stupid lakers should have beat suns.....
19,2016-04-10,7,youralterego,i want to see aaa.... > <.
20,2017-06-04,NULL,viperfish12,The seattle scene is pretty amazing too....
21,2017-11-06,7,odalv,i love my honda...
22,2019-04-06,12,craciun05,"For those who think that Hillary Clinton is a brilliant political mind, please note that she has apologized for her earlier remarks suggesting that young people don't work hard..."
23,2017-08-13,10,jerusseust,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before."
24,2015-05-28,15,artykom,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it."
25,2017-11-03,13,youralterego,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa."
26,2016-05-07,18,sosobanane,"i love Kappo Honda, which is across the street.."
27,2018-03-08,18,stethoscopes,stupid lakers.....
28,2015-03-18,13,hassan1365416,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.
29,2015-06-24,14,aminox,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!
30,2017-05-24,12,hairy-conniption,stupid UCLA..
31,2016-06-15,12,nitsua49,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent."
32,2017-07-02,7,tahastanly,"i hate the Lakers too but this isn't a basketball blog, so i won't go into it)."
33,2015-09-18,NULL,rps_1899,"i want the TC cause i like the moonroof and the smallness of it, then i like the yaris cause it saves gas, and then i like the hyundai turion or something cause it's nice.."
34,2016-03-21,NULL,craciun05,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it."
35,2018-01-14,12,artykom,London-Museums I really love the museums in London because there are a lot for me to see and they are free!
